,Unnamed: 0,used_read_access_memory_in_bytes,utilization_of_cpu,used_read_access_memory_in_percentage,time_duration_with_cpu_profiler_in_sec,used_algorithm,name_of_src_file,time_duration_without_malloc_in_sec,full_cost,best_way,time_duration_with_malloc_in_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,is_valid_way,is_optimal_cost,is_optimal_way,is_best_and_optimal,distance_error,optimal_error_percentage,average_cpu_utilization
0,0,11920646144,0.0,70.1,0.0004298,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_4.json,0.0001399000000001,1935.208175927314,"[0, 3, 2, 1, 0]",0.0002412999999998,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
1,1,11942338560,15.4,70.3,0.0003359,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_4.json,0.0001377999999996,2849.964203248856,"[0, 1, 3, 2, 0]",0.0002324000000002,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
2,2,11950133248,0.0,70.3,0.0003090000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_4.json,0.0001339000000002,2672.783922024946,"[0, 2, 1, 3, 0]",0.0002214,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
3,3,11954675712,0.0,70.3,0.0002971999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_4.json,0.0001289000000004,2088.938557724558,"[0, 1, 2, 3, 0]",0.0002363,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
4,4,11964362752,0.0,70.4,0.0003074999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_4.json,0.0003109000000001,2138.4694210788257,"[0, 1, 2, 3, 0]",0.0002184,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
5,5,11969982464,1.6,70.4,0.0003211000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_4.json,0.0001378999999999,3284.070906401097,"[0, 2, 3, 1, 0]",0.0002230999999999,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
6,6,12039569408,0.0,70.8,0.0002854999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_4.json,0.0001326999999999,2812.785510358919,"[0, 1, 2, 3, 0]",0.0002200000000001,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
7,7,12038856704,0.0,70.8,0.0005412000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_4.json,0.0001303999999997,4483.726936907282,"[0, 2, 1, 3, 0]",0.0002269000000003,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
8,8,12054712320,12.5,70.9,0.0003378,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_4.json,0.0001364999999999,2642.734850528839,"[0, 2, 1, 3, 0]",0.0007726000000003,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
9,9,11614154752,20.7,68.3,0.0004084999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_4.json,0.0003980999999999,3900.075015622191,"[0, 1, 3, 2, 0]",0.0002216999999999,0,0,3057,3057,3057,3057,False,False,False,False,0.0,0.0,0.0
10,10,11618115584,0.0,68.3,0.0002642999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_4.json,0.0001590999999998,2611.158593067528,"[0, 2, 3, 1, 0]",0.0002460000000001,0,0,3110,3110,3110,3110,False,False,False,False,0.0,0.0,0.0
11,11,11627155456,0.0,68.4,0.0005705999999996,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_5.json,0.0002537,5247.002694950534,"[0, 2, 3, 1, 4, 0]",0.0005612999999997,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
12,12,11639222272,0.0,68.5,0.0004496,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_5.json,0.0002583,5610.816238948362,"[0, 1, 4, 2, 3, 0]",0.0005307999999999,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
13,13,11655008256,3.4,68.6,0.0004756999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_5.json,0.0002552000000002,3245.177303203217,"[0, 3, 2, 1, 4, 0]",0.0005204999999999,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
14,14,11663994880,0.0,68.6,0.0004655000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_5.json,0.0002634000000001,4065.570992540409,"[0, 3, 2, 4, 1, 0]",0.0005237999999998,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
15,15,11668054016,0.0,68.6,0.0008658999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_5.json,0.0002671000000002,4188.148330565064,"[0, 1, 2, 4, 3, 0]",0.0005527,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
16,16,11705241600,12.5,68.9,0.0005239999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_5.json,0.0002895999999998,4834.977298453686,"[0, 1, 4, 3, 2, 0]",0.0005720999999998,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
17,17,11710177280,0.0,68.9,0.0003847000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_5.json,0.0003096,5480.378042322208,"[0, 3, 1, 4, 2, 0]",0.0005421999999999,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
18,18,11728330752,0.0,69.0,0.0004425999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_5.json,0.0002770999999999,3991.225265370968,"[0, 2, 1, 3, 4, 0]",0.0005191999999998,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
19,19,11748311040,0.0,69.1,0.0004265999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_5.json,0.0002629,4884.984619751125,"[0, 3, 4, 1, 2, 0]",0.0005239999999999,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
20,20,11733270528,0.0,69.0,0.0004464999999997,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_5.json,0.0002684999999997,5222.951586109288,"[0, 1, 2, 4, 3, 0]",0.0005234999999998,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
21,21,11749163008,0.0,69.1,0.0003932999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_5.json,0.0002698000000003,3174.0128722731847,"[0, 1, 2, 3, 4, 0]",0.0005333999999996,0,0,4378,4378,4378,4378,False,False,False,False,0.0,0.0,0.0
22,22,11765784576,0.0,69.2,0.0011877999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_6.json,0.0009438999999997,3656.608028422512,"[0, 3, 5, 4, 1, 2, 0]",0.0022424999999999,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
23,23,11761733632,5.4,69.2,0.0011920999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_6.json,0.0010210999999999,4857.159580944521,"[0, 1, 4, 5, 3, 2, 0]",0.0023669000000001,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
24,24,11789312000,12.5,69.4,0.0011670000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_6.json,0.0010753999999999,6271.719575183869,"[0, 4, 1, 2, 5, 3, 0]",0.0026350000000001,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
25,25,11786678272,0.0,69.3,0.0015942999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_6.json,0.0010813,5285.114080394351,"[0, 1, 2, 4, 3, 5, 0]",0.0028774999999998,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
26,26,11835834368,0.0,69.6,0.0012762999999997,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_6.json,0.0011277,4340.617043486077,"[0, 2, 1, 3, 5, 4, 0]",0.0027520999999999,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
27,27,11910672384,29.2,70.1,0.0015052999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_6.json,0.0011625999999997,4191.535554233758,"[0, 3, 4, 1, 2, 5, 0]",0.0025583999999998,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
28,28,11947495424,5.4,70.3,0.0010675999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_6.json,0.0009184999999996,3425.617109093754,"[0, 5, 4, 1, 3, 2, 0]",0.0022639999999998,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
29,29,11906383872,0.0,70.0,0.0011198000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_6.json,0.0010316000000001,4615.78609727691,"[0, 2, 1, 4, 3, 5, 0]",0.0022413999999999,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
30,30,11900301312,0.0,70.0,0.0011158999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_6.json,0.0009738999999999,5165.394077599134,"[0, 2, 1, 3, 4, 5, 0]",0.0022883,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
31,31,11936100352,12.5,70.2,0.0012512,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_6.json,0.0009809,5328.524795864792,"[0, 1, 3, 5, 4, 2, 0]",0.0059434999999998,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
32,32,11963494400,11.9,70.4,0.0013670000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_6.json,0.0009334,4609.703061751081,"[0, 4, 5, 1, 3, 2, 0]",0.0025500000000002,0,0,7790,7790,7790,7790,False,False,False,False,0.0,0.0,0.0
33,33,11969273856,0.0,70.4,0.00529,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_7.json,0.0052368999999998,4633.444504906415,"[0, 3, 2, 4, 5, 1, 6, 0]",0.0132837000000001,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
34,34,11985199104,0.0,70.5,0.0059828999999997,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_7.json,0.006545,3945.383087725937,"[0, 2, 3, 5, 6, 1, 4, 0]",0.0136574999999998,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
35,35,11992600576,0.0,70.5,0.0056131999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_7.json,0.0057657000000004,4324.50433286052,"[0, 6, 3, 4, 1, 2, 5, 0]",0.0134312000000003,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
36,36,11972435968,0.0,70.4,0.0054992,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_7.json,0.0057974999999999,4501.574559936454,"[0, 2, 6, 1, 4, 5, 3, 0]",0.0125014000000001,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
37,37,11990515712,0.0,70.5,0.0062206999999996,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_7.json,0.0054262,4827.947417859276,"[0, 1, 6, 2, 4, 5, 3, 0]",0.0126602999999998,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
38,38,11999625216,1.6,70.6,0.0052975999999995,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_7.json,0.0067889,4742.239498022681,"[0, 5, 4, 3, 6, 2, 1, 0]",0.0270829000000003,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
39,39,12020224000,12.5,70.7,0.0058537000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_7.json,0.0057647999999996,3270.8845931612905,"[0, 3, 4, 5, 2, 1, 6, 0]",0.0139835999999999,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
40,40,12033740800,0.0,70.8,0.0054326000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_7.json,0.0065679999999996,5250.138648061986,"[0, 2, 5, 3, 1, 6, 4, 0]",0.0139926999999997,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
41,41,12051365888,1.8,70.9,0.0060454,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_7.json,0.0052012999999999,5443.669015078212,"[0, 1, 6, 5, 2, 4, 3, 0]",0.0143918000000002,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
42,42,12062314496,1.6,71.0,0.0070027999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_7.json,0.0055613000000001,4235.391548833311,"[0, 6, 1, 3, 4, 2, 5, 0]",0.0138013999999997,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
43,43,12070338560,0.0,71.0,0.0053573,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_7.json,0.0055803999999999,5580.745726227298,"[0, 1, 4, 5, 2, 6, 3, 0]",0.0134099,0,0,7922,7922,7922,7922,False,False,False,False,0.0,0.0,0.0
44,44,11515158528,32.0,81.7,0.0082434523,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_8.json,0.0407744000000001,6086.3003145406165,"[0, 3, 6, 4, 1, 2, 5, 7, 0]",0.0948077,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
45,45,12116070400,3.6,71.3,0.0438632999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_8.json,0.0383586,5530.539289341173,"[0, 1, 5, 3, 7, 4, 2, 6, 0]",0.0953216999999999,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
46,46,12138803200,17.2,71.4,0.0502831000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_8.json,0.0704875,4134.741824188496,"[0, 4, 1, 2, 3, 7, 6, 5, 0]",0.1103581999999998,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
47,47,12125917184,17.2,71.3,0.0437350000000003,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_8.json,0.0407181999999997,5356.763243254066,"[0, 2, 5, 1, 6, 7, 4, 3, 0]",0.0950432999999999,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
48,48,12149448704,17.5,71.5,0.0409942,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_8.json,0.0389361000000003,4907.171937818085,"[0, 3, 4, 2, 1, 5, 6, 7, 0]",0.0933828000000001,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
49,49,12157153280,3.1,71.5,0.0390977000000001,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_8.json,0.0400548,5549.818699022189,"[0, 2, 5, 4, 3, 6, 1, 7, 0]",0.0945092999999999,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
50,50,12161867776,4.7,71.5,0.0386816000000003,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_8.json,0.0408148999999999,5840.032374590057,"[0, 1, 3, 4, 2, 7, 6, 5, 0]",0.0982369999999996,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
51,51,12173475840,5.3,71.6,0.0411257999999996,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_8.json,0.0448031000000002,3971.3836287272056,"[0, 3, 7, 1, 5, 4, 2, 6, 0]",0.0949409999999999,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
52,52,12177072128,4.7,71.6,0.0392510999999999,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_8.json,0.0405921999999998,4812.929184771187,"[0, 3, 2, 4, 5, 1, 7, 6, 0]",0.0954139,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
53,53,12189356032,3.5,71.7,0.0399984999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_8.json,0.0413459999999998,5964.340550686121,"[0, 3, 6, 2, 7, 1, 4, 5, 0]",0.0994325000000002,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
54,54,12207177728,15.5,71.8,0.0406165,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_8.json,0.0422782000000001,3908.669864324701,"[0, 3, 6, 2, 4, 1, 5, 7, 0]",0.0908033000000001,0,0,7966,7966,7966,7966,False,False,False,False,0.0,0.0,0.0
55,55,13468491776,12.5,79.2,0.0524993999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_11_N_8.json,0.0447844000000001,5859.87117640889,"[0, 2, 6, 5, 3, 7, 1, 4, 0]",0.1029974,0,0,7950,7950,7950,7950,False,False,False,False,0.0,0.0,0.0
56,56,13506781184,18.0,79.5,0.0458097999999997,brute_force_lib_python_tsp,TSP_CITIES_SET_12_N_8.json,0.0549629,6357.693528520219,"[0, 3, 1, 7, 2, 5, 6, 4, 0]",0.117213,0,0,7950,7950,7950,7950,False,False,False,False,0.0,0.0,0.0
57,58,12238880768,11.7,72.0,1.0753383,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_9.json,0.3221293000000003,4619.208483951843,"[0, 1, 3, 6, 5, 4, 2, 8, 7, 0]",0.7619354999999999,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
58,59,"[12245663744, 12239175680]","[12.5, 12.5]","[72.0, 72.0]",1.6472351,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_9.json,0.3324978,6289.495136673273,"[0, 7, 4, 5, 8, 1, 2, 6, 3, 0]",0.7741232999999998,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
59,60,"[12252323840, 12247904256]","[12.5, 1.8]","[72.1, 72.0]",1.1466787999999997,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_9.json,0.3209023000000002,4760.835604529663,"[0, 3, 8, 4, 7, 2, 5, 1, 6, 0]",0.7528700000000002,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
60,61,"[12248514560, 12252540928]","[14.3, 12.5]","[72.1, 72.1]",2.2376504,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_9.json,0.3233173000000002,5873.916755320764,"[0, 6, 1, 7, 2, 5, 3, 8, 4, 0]",0.8703436999999998,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
61,62,"[12291616768, 12290703360]","[24.1, 20.3]","[72.3, 72.3]",1.1995492,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_9.json,0.3393050999999998,6500.501477520622,"[0, 1, 5, 3, 6, 7, 2, 4, 8, 0]",0.7636731999999999,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
62,63,"[12305063936, 12298457088]","[12.5, 7.1]","[72.4, 72.3]",1.163513,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_9.json,0.3257333,5316.4737187617175,"[0, 4, 3, 5, 7, 6, 1, 2, 8, 0]",0.7473860999999999,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
63,64,"[12319789056, 12310900736]","[12.5, 9.4]","[72.5, 72.4]",1.1775307000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_9.json,0.3200182000000002,5108.346043891201,"[0, 1, 2, 5, 8, 3, 6, 4, 7, 0]",0.7546556999999998,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
64,65,"[12320882688, 12321648640]","[12.7, 1.9]","[72.5, 72.5]",1.1251263000000002,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_9.json,0.3309707999999998,6201.374164574673,"[0, 2, 8, 7, 6, 4, 1, 5, 3, 0]",0.7570058999999998,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
65,66,"[12326780928, 12321128448]","[37.5, 42.9]","[72.5, 72.5]",1.6354004000000004,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_9.json,0.4543592999999997,5474.698394199804,"[0, 6, 3, 2, 4, 8, 5, 1, 7, 0]",0.9027113,0,0,8010,8010,8010,8010,False,False,False,False,0.0,0.0,0.0
66,67,"[13584084992, 13580976128]","[31.6, 21.9]","[79.9, 79.9]",1.4450297000000003,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_9.json,0.4356588999999999,6254.3169806483975,"[0, 6, 2, 1, 4, 7, 3, 5, 8, 0]",0.8306484000000003,0,0,7994,7994,7994,7994,False,False,False,False,0.0,0.0,0.0
67,68,"[13624836096, 13631668224]","[50.0, 23.7]","[80.1, 80.2]",1.7569827999999998,brute_force_lib_python_tsp,TSP_CITIES_SET_11_N_9.json,0.4049616999999998,4057.198627813282,"[0, 1, 3, 5, 6, 7, 2, 4, 8, 0]",0.8317505999999999,0,0,7994,7994,7994,7994,False,False,False,False,0.0,0.0,0.0
