,used_algorithm,name_of_src_file,number_of_cities,index_of_sample,best_way,full_cost,hamiltonian_cycle_cost,time_duration_without_malloc_in_sec,utilization_of_cpu,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes
0,brute_force_lib_python_tsp,TSP_CITIES_SET_0_N_4.json,4,0,"[0, 3, 2, 1, 0]",1935.208175927314,1935.208175927314,0.00014680000000000248,[17.9],3094,3094
1,brute_force_lib_python_tsp,TSP_CITIES_SET_1_N_4.json,4,1,"[0, 1, 3, 2, 0]",2849.964203248856,2849.964203248856,0.0001366000000002643,[14.3],3094,3094
2,brute_force_lib_python_tsp,TSP_CITIES_SET_2_N_4.json,4,2,"[0, 2, 1, 3, 0]",2672.783922024946,2672.783922024946,0.00014199999999986446,[1.8],3094,3094
3,brute_force_lib_python_tsp,TSP_CITIES_SET_3_N_4.json,4,3,"[0, 1, 2, 3, 0]",2088.938557724558,2088.938557724558,0.00013860000000009975,[14.3],3094,3094
4,brute_force_lib_python_tsp,TSP_CITIES_SET_4_N_4.json,4,4,"[0, 1, 2, 3, 0]",2138.4694210788257,2138.4694210788257,0.0001571000000000211,[9.4],3094,3094
5,brute_force_lib_python_tsp,TSP_CITIES_SET_5_N_4.json,4,5,"[0, 2, 3, 1, 0]",3284.070906401097,3284.070906401097,0.00016919999999975843,[8.9],3094,3094
6,brute_force_lib_python_tsp,TSP_CITIES_SET_6_N_4.json,4,6,"[0, 1, 2, 3, 0]",2812.785510358919,2812.785510358919,0.00026310000000018263,[15.6],3094,3094
7,brute_force_lib_python_tsp,TSP_CITIES_SET_7_N_4.json,4,7,"[0, 2, 1, 3, 0]",4483.726936907282,4483.726936907282,0.00016889999999980532,[30.4],3094,3094
8,brute_force_lib_python_tsp,TSP_CITIES_SET_8_N_4.json,4,8,"[0, 2, 1, 3, 0]",2642.734850528839,2642.734850528839,0.00018760000000028754,[13.8],3094,3094
9,brute_force_lib_python_tsp,TSP_CITIES_SET_9_N_4.json,4,9,"[0, 1, 3, 2, 0]",3900.075015622191,3900.075015622191,0.00016300000000013526,[6.2],3094,3094
10,brute_force_lib_python_tsp,TSP_CITIES_SET_10_N_4.json,4,10,"[0, 2, 3, 1, 0]",2611.1585930675274,2611.1585930675274,0.00013079999999998648,[14.0],3094,3094
11,brute_force_lib_python_tsp,TSP_CITIES_SET_11_N_4.json,4,11,"[0, 3, 1, 2, 0]",2793.517283556732,2793.517283556732,0.00027569999999954575,[89.6],3094,3094
12,brute_force_lib_python_tsp,TSP_CITIES_SET_12_N_4.json,4,12,"[0, 2, 1, 3, 0]",3540.006955380778,3540.006955380778,0.000171200000000038,[0.0],3094,3094
13,brute_force_lib_python_tsp,TSP_CITIES_SET_13_N_4.json,4,13,"[0, 1, 2, 3, 0]",4162.84504878398,4162.84504878398,0.00018999999999991246,[20.7],3094,3094
14,brute_force_lib_python_tsp,TSP_CITIES_SET_14_N_4.json,4,14,"[0, 1, 3, 2, 0]",2593.8172114763024,2593.8172114763024,0.00014720000000023603,[23.2],3094,3094
15,brute_force_lib_python_tsp,TSP_CITIES_SET_15_N_4.json,4,15,"[0, 1, 2, 3, 0]",1743.3912064237177,1743.3912064237177,0.00015490000000006887,[3.6],3094,3094
16,brute_force_lib_python_tsp,TSP_CITIES_SET_16_N_4.json,4,16,"[0, 1, 2, 3, 0]",3244.5262399743824,3244.5262399743824,0.00013639999999970343,[5.4],3094,3094
17,brute_force_lib_python_tsp,TSP_CITIES_SET_17_N_4.json,4,17,"[0, 2, 3, 1, 0]",5264.211583678567,5264.211583678567,0.00016119999999997248,[0.0],3094,3094
18,brute_force_lib_python_tsp,TSP_CITIES_SET_18_N_4.json,4,18,"[0, 1, 2, 3, 0]",3896.4360399421334,3896.4360399421334,0.00013299999999993872,[7.0],3094,3094
19,brute_force_lib_python_tsp,TSP_CITIES_SET_19_N_4.json,4,19,"[0, 2, 1, 3, 0]",2688.167356260725,2688.167356260725,0.00021380000000004173,[7.1],3094,3094
20,brute_force_lib_python_tsp,TSP_CITIES_SET_20_N_4.json,4,20,"[0, 1, 3, 2, 0]",4329.418741367845,4329.418741367845,0.0002086999999999506,[16.1],3094,3094
21,brute_force_lib_python_tsp,TSP_CITIES_SET_21_N_4.json,4,21,"[0, 3, 2, 1, 0]",3863.8166808924393,3863.8166808924393,0.0001788000000000345,[26.6],3094,3094
22,brute_force_lib_python_tsp,TSP_CITIES_SET_22_N_4.json,4,22,"[0, 2, 1, 3, 0]",3788.7703176913788,3788.7703176913788,0.0001984999999997683,[1.6],3094,3094
23,brute_force_lib_python_tsp,TSP_CITIES_SET_23_N_4.json,4,23,"[0, 3, 1, 2, 0]",3278.303049058874,3278.303049058874,0.0002027000000000001,[5.1],3094,3094
24,brute_force_lib_python_tsp,TSP_CITIES_SET_24_N_4.json,4,24,"[0, 1, 3, 2, 0]",4242.34512556507,4242.34512556507,0.00012889999999998736,[7.7],3094,3094
25,brute_force_lib_python_tsp,TSP_CITIES_SET_25_N_4.json,4,25,"[0, 1, 2, 3, 0]",2793.583564604941,2793.583564604941,0.0001661999999997832,[0.0],3094,3094
26,brute_force_lib_python_tsp,TSP_CITIES_SET_26_N_4.json,4,26,"[0, 1, 3, 2, 0]",2017.3640236308006,2017.3640236308006,0.00016080000000018302,[3.6],3094,3094
27,brute_force_lib_python_tsp,TSP_CITIES_SET_27_N_4.json,4,27,"[0, 1, 2, 3, 0]",4189.560710983533,4189.560710983533,0.0001753999999998257,[13.3],3094,3094
28,brute_force_lib_python_tsp,TSP_CITIES_SET_28_N_4.json,4,28,"[0, 2, 1, 3, 0]",4934.156462174213,4934.156462174213,0.00027290000000013137,[12.5],3094,3094
29,brute_force_lib_python_tsp,TSP_CITIES_SET_29_N_4.json,4,29,"[0, 3, 2, 1, 0]",3948.194596877481,3948.194596877481,0.00018779999999996022,[0.0],3094,3094
30,brute_force_lib_python_tsp,TSP_CITIES_SET_30_N_4.json,4,30,"[0, 2, 1, 3, 0]",2203.656198291435,2203.656198291435,0.00015479999999978844,[6.7],3094,3094
31,brute_force_lib_python_tsp,TSP_CITIES_SET_31_N_4.json,4,31,"[0, 2, 3, 1, 0]",3168.4961574705453,3168.4961574705453,0.00019150000000012213,[0.0],3094,3094
32,brute_force_lib_python_tsp,TSP_CITIES_SET_32_N_4.json,4,32,"[0, 1, 2, 3, 0]",4092.660957968372,4092.660957968372,0.00013569999999996085,[0.0],3094,3094
33,brute_force_lib_python_tsp,TSP_CITIES_SET_33_N_4.json,4,33,"[0, 1, 3, 2, 0]",3685.2488994747496,3685.2488994747496,0.00015940000000025378,[11.9],3094,3094
34,brute_force_lib_python_tsp,TSP_CITIES_SET_34_N_4.json,4,34,"[0, 1, 2, 3, 0]",4787.753482300714,4787.753482300714,0.0004484000000002375,[0.0],3094,3094
35,brute_force_lib_python_tsp,TSP_CITIES_SET_35_N_4.json,4,35,"[0, 1, 2, 3, 0]",1913.935662907206,1913.935662907206,0.00014769999999986183,[12.5],3094,3094
36,brute_force_lib_python_tsp,TSP_CITIES_SET_36_N_4.json,4,36,"[0, 2, 1, 3, 0]",3214.4233488551345,3214.4233488551345,0.00013920000000000599,[3.6],3094,3094
37,brute_force_lib_python_tsp,TSP_CITIES_SET_37_N_4.json,4,37,"[0, 1, 3, 2, 0]",1570.5869190048459,1570.5869190048459,0.00015070000000028116,[0.0],3094,3094
38,brute_force_lib_python_tsp,TSP_CITIES_SET_38_N_4.json,4,38,"[0, 1, 3, 2, 0]",1776.520274757937,1776.520274757937,0.0004352999999999163,[0.0],3094,3094
39,brute_force_lib_python_tsp,TSP_CITIES_SET_39_N_4.json,4,39,"[0, 2, 1, 3, 0]",4803.088498867297,4803.088498867297,0.00024010000000007636,[1.8],3094,3094
40,brute_force_lib_python_tsp,TSP_CITIES_SET_40_N_4.json,4,40,"[0, 2, 1, 3, 0]",2481.6044058548623,2481.6044058548623,0.0001411000000000051,[0.0],3094,3094
41,brute_force_lib_python_tsp,TSP_CITIES_SET_41_N_4.json,4,41,"[0, 3, 2, 1, 0]",3016.910125633208,3016.910125633208,0.00014089999999988834,[5.8],3094,3094
42,brute_force_lib_python_tsp,TSP_CITIES_SET_42_N_4.json,4,42,"[0, 3, 1, 2, 0]",2324.932545836474,2324.932545836474,0.0001799000000000106,[12.5],3094,3094
43,brute_force_lib_python_tsp,TSP_CITIES_SET_43_N_4.json,4,43,"[0, 2, 1, 3, 0]",3478.0777394268425,3478.0777394268425,0.00016300000000013526,[15.6],3094,3094
44,brute_force_lib_python_tsp,TSP_CITIES_SET_44_N_4.json,4,44,"[0, 1, 2, 3, 0]",3657.7270431102042,3657.7270431102042,0.00022609999999989583,[15.5],3094,3094
45,brute_force_lib_python_tsp,TSP_CITIES_SET_45_N_4.json,4,45,"[0, 1, 2, 3, 0]",2553.443897296393,2553.443897296393,0.00013990000000019265,[17.5],3094,3094
46,brute_force_lib_python_tsp,TSP_CITIES_SET_46_N_4.json,4,46,"[0, 1, 2, 3, 0]",2826.3871367225165,2826.3871367225165,0.00016209999999983182,[7.1],3094,3094
47,brute_force_lib_python_tsp,TSP_CITIES_SET_47_N_4.json,4,47,"[0, 3, 1, 2, 0]",2719.9462490799096,2719.9462490799096,0.0001686000000002963,[3.5],3094,3094
48,brute_force_lib_python_tsp,TSP_CITIES_SET_48_N_4.json,4,48,"[0, 1, 3, 2, 0]",2750.9417222781212,2750.9417222781212,0.00013019999999963616,[0.0],3094,3094
49,brute_force_lib_python_tsp,TSP_CITIES_SET_49_N_4.json,4,49,"[0, 1, 2, 3, 0]",4856.686688197209,4856.686688197209,0.00018390000000012563,[17.9],3094,3094
50,brute_force_lib_python_tsp,TSP_CITIES_SET_50_N_4.json,4,50,"[0, 1, 3, 2, 0]",3174.5350739365276,3174.5350739365276,0.00016509999999980707,[26.8],3094,3094
51,brute_force_lib_python_tsp,TSP_CITIES_SET_51_N_4.json,4,51,"[0, 2, 1, 3, 0]",2187.953979280815,2187.953979280815,0.0001602000000002768,[5.1],3094,3094
52,brute_force_lib_python_tsp,TSP_CITIES_SET_52_N_4.json,4,52,"[0, 3, 1, 2, 0]",3205.4935696008356,3205.4935696008356,0.00014980000000042182,[12.5],3094,3094
53,brute_force_lib_python_tsp,TSP_CITIES_SET_53_N_4.json,4,53,"[0, 2, 1, 3, 0]",3245.4381103495525,3245.4381103495525,0.00012729999999994135,[1.8],3094,3094
54,brute_force_lib_python_tsp,TSP_CITIES_SET_54_N_4.json,4,54,"[0, 2, 1, 3, 0]",3151.78658653803,3151.78658653803,0.00015119999999990696,[1.7],3094,3094
55,brute_force_lib_python_tsp,TSP_CITIES_SET_55_N_4.json,4,55,"[0, 2, 1, 3, 0]",4042.921672968045,4042.921672968045,0.00016049999999978581,[0.0],3094,3094
56,brute_force_lib_python_tsp,TSP_CITIES_SET_56_N_4.json,4,56,"[0, 2, 1, 3, 0]",3139.927840424028,3139.927840424028,0.0001530999999999061,[0.0],3094,3094
57,brute_force_lib_python_tsp,TSP_CITIES_SET_57_N_4.json,4,57,"[0, 2, 1, 3, 0]",2888.393291254044,2888.393291254044,0.00014860000000016527,[15.3],3094,3094
58,brute_force_lib_python_tsp,TSP_CITIES_SET_58_N_4.json,4,58,"[0, 2, 1, 3, 0]",4325.190369749925,4325.190369749925,0.00020160000000002398,[0.0],3094,3094
59,brute_force_lib_python_tsp,TSP_CITIES_SET_59_N_4.json,4,59,"[0, 1, 3, 2, 0]",2114.685716402872,2114.685716402872,0.00015959999999992647,[1.7],3094,3094
60,brute_force_lib_python_tsp,TSP_CITIES_SET_60_N_4.json,4,60,"[0, 1, 3, 2, 0]",3276.4409921975302,3276.4409921975302,0.00027909999999975454,[3.5],3094,3094
61,brute_force_lib_python_tsp,TSP_CITIES_SET_61_N_4.json,4,61,"[0, 2, 1, 3, 0]",3246.7105429575035,3246.7105429575035,0.00015560000000025553,[0.0],3094,3094
62,brute_force_lib_python_tsp,TSP_CITIES_SET_62_N_4.json,4,62,"[0, 1, 2, 3, 0]",3919.8223778512615,3919.8223778512615,0.00018049999999991684,[1.7],3094,3094
63,brute_force_lib_python_tsp,TSP_CITIES_SET_63_N_4.json,4,63,"[0, 1, 3, 2, 0]",1971.1503279184137,1971.1503279184137,0.00017250000000013088,[3.6],3094,3094
64,brute_force_lib_python_tsp,TSP_CITIES_SET_64_N_4.json,4,64,"[0, 1, 2, 3, 0]",5144.649150293102,5144.649150293102,0.00013340000000017227,[29.8],3094,3094
65,brute_force_lib_python_tsp,TSP_CITIES_SET_65_N_4.json,4,65,"[0, 1, 3, 2, 0]",4624.456520665201,4624.456520665201,0.00014180000000019177,[11.8],3094,3094
66,brute_force_lib_python_tsp,TSP_CITIES_SET_66_N_4.json,4,66,"[0, 1, 2, 3, 0]",2520.5783328278317,2520.5783328278317,0.00018260000000003274,[0.0],3094,3094
67,brute_force_lib_python_tsp,TSP_CITIES_SET_67_N_4.json,4,67,"[0, 2, 1, 3, 0]",2510.323350506782,2510.323350506782,0.0001378999999999131,[0.0],3094,3094
68,brute_force_lib_python_tsp,TSP_CITIES_SET_68_N_4.json,4,68,"[0, 1, 2, 3, 0]",3766.4478917703686,3766.4478917703686,0.00013389999999979807,[3.5],3094,3094
69,brute_force_lib_python_tsp,TSP_CITIES_SET_69_N_4.json,4,69,"[0, 3, 2, 1, 0]",1876.6675444540847,1876.6675444540847,0.00017559999999994247,[7.5],3094,3094
70,brute_force_lib_python_tsp,TSP_CITIES_SET_70_N_4.json,4,70,"[0, 3, 2, 1, 0]",3625.7279297186,3625.7279297186,0.00013750000000012363,[1.6],3094,3094
71,brute_force_lib_python_tsp,TSP_CITIES_SET_71_N_4.json,4,71,"[0, 2, 1, 3, 0]",4417.486611877747,4417.486611877747,0.0002436000000001215,[18.8],3094,3094
72,brute_force_lib_python_tsp,TSP_CITIES_SET_72_N_4.json,4,72,"[0, 2, 1, 3, 0]",3118.2902953389466,3118.2902953389466,0.0001449999999998397,[15.6],3094,3094
73,brute_force_lib_python_tsp,TSP_CITIES_SET_73_N_4.json,4,73,"[0, 1, 3, 2, 0]",2959.1598314096145,2959.1598314096145,0.00015299999999962566,[3.1],3094,3094
74,brute_force_lib_python_tsp,TSP_CITIES_SET_74_N_4.json,4,74,"[0, 1, 2, 3, 0]",3602.461304929231,3602.461304929231,0.000158400000000114,[0.0],3094,3094
75,brute_force_lib_python_tsp,TSP_CITIES_SET_75_N_4.json,4,75,"[0, 3, 2, 1, 0]",2834.3782037209867,2834.3782037209867,0.00016630000000006362,[10.2],3094,3094
76,brute_force_lib_python_tsp,TSP_CITIES_SET_76_N_4.json,4,76,"[0, 1, 2, 3, 0]",3204.9359979058577,3204.9359979058577,0.00018989999999963203,[3.9],3094,3094
77,brute_force_lib_python_tsp,TSP_CITIES_SET_77_N_4.json,4,77,"[0, 2, 1, 3, 0]",4086.563059497739,4086.563059497739,0.00014139999999995823,[0.0],3094,3094
78,brute_force_lib_python_tsp,TSP_CITIES_SET_78_N_4.json,4,78,"[0, 1, 2, 3, 0]",3144.4156220170707,3144.4156220170707,0.00023209999999984632,[0.0],3094,3094
79,brute_force_lib_python_tsp,TSP_CITIES_SET_79_N_4.json,4,79,"[0, 1, 3, 2, 0]",2404.416346605054,2404.416346605054,0.0001554999999999751,[21.1],3094,3094
80,brute_force_lib_python_tsp,TSP_CITIES_SET_80_N_4.json,4,80,"[0, 3, 1, 2, 0]",5039.635743307924,5039.635743307924,0.00012869999999987058,[1.6],3094,3094
81,brute_force_lib_python_tsp,TSP_CITIES_SET_81_N_4.json,4,81,"[0, 3, 1, 2, 0]",3774.861365066078,3774.861365066078,0.00015510000000018564,[0.0],3094,3094
82,brute_force_lib_python_tsp,TSP_CITIES_SET_82_N_4.json,4,82,"[0, 1, 2, 3, 0]",3502.4639905443255,3502.4639905443255,0.00013079999999998648,[0.0],3094,3094
83,brute_force_lib_python_tsp,TSP_CITIES_SET_83_N_4.json,4,83,"[0, 1, 2, 3, 0]",3463.8642769474013,3463.8642769474013,0.0001550000000003493,[0.0],3094,3094
84,brute_force_lib_python_tsp,TSP_CITIES_SET_84_N_4.json,4,84,"[0, 1, 3, 2, 0]",2726.537230164541,2726.537230164541,0.00016129999999980882,[3.6],3094,3094
