    ,used_algorithm                                   ,name_of_src_file           ,full_cost         ,hamiltonian_cycle_cost,best_way
4466,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_36_N_4.json ,3214.4233488551345,3214.4233488551345    ,"[0, 2, 1, 3, 0]"
4467,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_37_N_4.json ,1570.586919004846 ,1570.586919004846     ,"[0, 1, 3, 2, 0]"
4468,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_38_N_4.json ,1776.520274757937 ,1776.520274757937     ,"[0, 1, 3, 2, 0]"
4469,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_39_N_4.json ,4803.088498867297 ,4803.088498867297     ,"[0, 2, 1, 3, 0]"
4470,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_40_N_4.json ,2481.6044058548623,2481.6044058548628    ,"[0, 3, 1, 2, 0]"
4471,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_41_N_4.json ,3016.910125633208 ,3016.9101256332083    ,"[0, 1, 2, 3, 0]"
4472,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_42_N_4.json ,2324.932545836474 ,2324.9325458364747    ,"[0, 2, 1, 3, 0]"
4473,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_43_N_4.json ,3478.0777394268425,3478.0777394268425    ,"[0, 2, 1, 3, 0]"
4474,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_44_N_4.json ,3657.727043110204 ,3657.727043110204     ,"[0, 1, 2, 3, 0]"
4475,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_45_N_4.json ,2553.443897296393 ,2553.443897296393     ,"[0, 3, 2, 1, 0]"
4476,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_46_N_4.json ,2826.3871367225165,2826.3871367225165    ,"[0, 1, 2, 3, 0]"
4477,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_47_N_4.json ,2719.9462490799096,2719.94624907991      ,"[0, 2, 1, 3, 0]"
4478,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_48_N_4.json ,2750.941722278121 ,2750.9417222781217    ,"[0, 2, 3, 1, 0]"
4479,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_49_N_4.json ,4856.686688197209 ,4856.686688197209     ,"[0, 1, 2, 3, 0]"
4480,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_50_N_4.json ,3174.535073936528 ,3174.535073936528     ,"[0, 1, 3, 2, 0]"
4481,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_51_N_4.json ,2187.953979280815 ,2187.953979280815     ,"[0, 2, 1, 3, 0]"
4482,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_52_N_4.json ,3205.493569600836 ,3205.493569600836     ,"[0, 2, 1, 3, 0]"
4483,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_53_N_4.json ,3245.4381103495525,3245.4381103495525    ,"[0, 2, 1, 3, 0]"
4484,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_54_N_4.json ,3151.78658653803  ,3151.78658653803      ,"[0, 2, 1, 3, 0]"
4485,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_55_N_4.json ,4042.921672968045 ,4042.9216729680456    ,"[0, 3, 1, 2, 0]"
4486,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_56_N_4.json ,3139.927840424028 ,3139.927840424028     ,"[0, 2, 1, 3, 0]"
4487,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_57_N_4.json ,2888.393291254044 ,2888.393291254044     ,"[0, 2, 1, 3, 0]"
4488,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_58_N_4.json ,4325.190369749925 ,4325.190369749925     ,"[0, 2, 1, 3, 0]"
4489,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_59_N_4.json ,2114.685716402872 ,2114.685716402872     ,"[0, 1, 3, 2, 0]"
4490,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_60_N_4.json ,3276.4409921975302,3276.4409921975302    ,"[0, 1, 3, 2, 0]"
4491,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_61_N_4.json ,3246.7105429575035,3246.7105429575035    ,"[0, 2, 1, 3, 0]"
4492,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_62_N_4.json ,3919.8223778512615,3919.8223778512615    ,"[0, 1, 2, 3, 0]"
4493,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_63_N_4.json ,1971.1503279184135,1971.1503279184135    ,"[0, 1, 3, 2, 0]"
4494,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_64_N_4.json ,5144.649150293102 ,5144.649150293102     ,"[0, 1, 2, 3, 0]"
4495,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_65_N_4.json ,4624.456520665201 ,4624.456520665201     ,"[0, 1, 3, 2, 0]"
4496,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_66_N_4.json ,2520.578332827832 ,2520.578332827832     ,"[0, 3, 2, 1, 0]"
4497,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_67_N_4.json ,2510.323350506782 ,2510.323350506782     ,"[0, 2, 1, 3, 0]"
4498,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_68_N_4.json ,3766.4478917703686,3766.447891770369     ,"[0, 3, 2, 1, 0]"
4499,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_69_N_4.json ,1876.6675444540847,1876.667544454085     ,"[0, 1, 2, 3, 0]"
4500,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_70_N_4.json ,3625.7279297186   ,3625.727929718601     ,"[0, 1, 2, 3, 0]"
4501,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_71_N_4.json ,4417.486611877747 ,4417.486611877747     ,"[0, 2, 1, 3, 0]"
4502,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_72_N_4.json ,3118.290295338946 ,3118.290295338946     ,"[0, 2, 1, 3, 0]"
4503,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_73_N_4.json ,2959.1598314096145,2959.1598314096145    ,"[0, 1, 3, 2, 0]"
4504,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_74_N_4.json ,3602.461304929231 ,3602.461304929231     ,"[0, 1, 2, 3, 0]"
4505,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_75_N_4.json ,2834.3782037209867,2834.378203720987     ,"[0, 1, 2, 3, 0]"
4506,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_76_N_4.json ,3204.9359979058577,3204.9359979058577    ,"[0, 1, 2, 3, 0]"
4507,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_77_N_4.json ,4086.563059497739 ,4086.5630594977392    ,"[0, 3, 1, 2, 0]"
4508,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_78_N_4.json ,3144.4156220170707,3144.4156220170707    ,"[0, 1, 2, 3, 0]"
