,number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                       ,full_cost,hamiltonian_cycle_cost,best_way,suffix ,parameters                                               ,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
0,4,0,TSP_CITIES_SET_0_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[18.8]            ,18.8,18.8,nan                   ,18.8,0.0003392999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
1,4,1,TSP_CITIES_SET_1_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0002887,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
2,4,2,TSP_CITIES_SET_2_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[9.4]             ,9.4,9.4,nan                   ,9.4,0.0002950999999997,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
3,4,3,TSP_CITIES_SET_3_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[1.6]             ,1.6,1.6,nan                   ,1.6,0.000312,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
4,4,4,TSP_CITIES_SET_4_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004105,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
5,4,5,TSP_CITIES_SET_5_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[1.8]             ,1.8,1.8,nan                   ,1.8,0.0003304000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
6,4,6,TSP_CITIES_SET_6_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003785999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
7,4,7,TSP_CITIES_SET_7_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[1.8]             ,1.8,1.8,nan                   ,1.8,0.0003516000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
8,4,8,TSP_CITIES_SET_8_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003054000000002,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
9,4,9,TSP_CITIES_SET_9_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps1    ,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}        ",[14.1]            ,14.1,14.1,nan                   ,14.1,0.0005275,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
